"","x"
"1",0.191838612459126
"2",0.203323568422689
"3",0.152582197969191
"4",0.056488817793604
"5",0.233650294759149
"6",0.350172497784503
"7",0.580476284448517
"8",0.746329815132656
"9",0.830934116605865
"10",0.927279621111385
"11",0.814486588024906
"12",0.724440067762543
"13",0.656328419533245
"14",0.512408839027777
"15",0.313029093412811
"16",0.131995839855767
"17",0
"18",0.333599688723541
"19",0.238152694156346
"20",0.371677535680137
"21",0.725660546549267
"22",0.834958263481222
"23",0.716448166463858
"24",0.558630898493081
"25",0.505007950149008
"26",0.4377725199452
"27",0.645494396960495
"28",0.457270827905496
"29",0.162249990639946
"30",0.250360887108678
"31",0.33448691573761
"32",0.502093470640444
"33",0.69940799385331
"34",0.836562575558715
"35",0.712480300226
"36",0.630049270551711
"37",0.513146311208038
"38",0.477445025729088
"39",0.60314274850961
"40",0.676422829240527
"41",0.443479464167952
"42",0.487168765095924
"43",0.469259656591357
"44",0.548313796114027
"45",0.575112889477674
"46",0.718249615091946
"47",0.750127952049115
"48",0.64393679839984
"49",0.575956767915549
"50",0.47015621635068
"51",0.665006783815141
"52",0.585056060428816
"53",0.527819027788979
"54",0.339529266742693
"55",0.364929664966265
"56",0.513637037146757
"57",0.595341321424105
"58",0.663512900195268
"59",0.621731517015846
"60",0.492976668284039
"61",0.46539919199902
"62",0.491654360886167
"63",0.56543653314977
"64",0.572368189986719
"65",0.494192698804203
"66",0.480820081417308
"67",0.369104940912276
"68",0.528447625386464
"69",0.651690484308571
"70",0.759534927280722
"71",0.727498299065983
"72",0.685108914465728
"73",0.565352381462788
"74",0.463625690467295
"75",0.405001723738919
