"","x"
"1",0.258654448631146
"2",0.280514655836626
"3",0.44645607465701
"4",0.576488568225158
"5",0.57605556174801
"6",0.591782482220643
"7",0.743447894575652
"8",0.922585190377103
"9",1.00237116444433
"10",1.05406302015294
"11",1.00914884636035
"12",0.920362962259925
"13",0.864471784519231
"14",0.690197047061207
"15",0.448314943849068
"16",0.302379018204347
"17",0
"18",0.189034142441612
"19",0
"20",0.106885713842857
"21",0.51534093429454
"22",0.613554731239978
"23",0.509298673916135
"24",0.382555383987454
"25",0.290919893337858
"26",0.28877400314525
"27",0.648334810898112
"28",0.609832829730988
"29",0.274068297417079
"30",0.248132887014344
"31",0.172919940964616
"32",0.345230249952639
"33",0.564957903120193
"34",0.662178354215675
"35",0.577052557950977
"36",0.512846181363106
"37",0.476175334908819
"38",0.547149883762322
"39",0.692910235798411
"40",0.740514202639966
"41",0.509784463371074
"42",0.376285609982845
"43",0.316321594435809
"44",0.358973114777136
"45",0.431290684552191
"46",0.516083110297528
"47",0.529422969830508
"48",0.44459666460612
"49",0.420881245889188
"50",0.408362596147528
"51",0.658307820027336
"52",0.706764194379875
"53",0.595760373528503
"54",0.414397423166781
"55",0.303449481774858
"56",0.363267318659104
"57",0.451790203341425
"58",0.498600923104758
"59",0.462375398454562
"60",0.354782469527042
"61",0.326750081955945
"62",0.386738528469334
"63",0.526081318530517
"64",0.584062813227401
"65",0.513870759244868
"66",0.392041653468464
"67",0.2640849633747
"68",0.380610479957746
"69",0.527246797915756
"70",0.610470825813786
"71",0.592559190429037
"72",0.548217300869065
"73",0.467880805435067
"74",0.428344738303859
"75",0.480323450533953
