"","V1","V2","V3","V4"
"1",0.867271081683501,10,3,17
"2",0.72760971994979,22,17,30
"3",0.739867013221781,34,30,38
"4",0.576074827300914,39,38,42
"5",0.69812398326081,47,42,50
"6",0.584845928114388,51,50,54
"7",0.614759916788545,58,54,61
"8",0.537562692451563,63,61,67
"9",0.716371769458368,71,67,75
