"","V1","V2","V3","V4"
"1",-4.19257938284478,4,1,5
"2",-3.49151105390862,10,5,17
"3",-4.76135358281824,18,17,19
"4",-4.13816710668557,22,19,26
"5",-4.08711074839888,27,26,31
"6",-4.06678874469659,34,31,37
"7",-3.95179351802789,40,37,43
"8",-4.26167060052555,47,43,50
"9",-4.00133775515568,52,50,55
"10",-4.30691665735541,58,55,61
"11",-4.18146056510811,64,61,67
"12",-4.14269420903581,70,67,74
