"","V1","V2","V3","V4"
"1",-10.1690081784866,10,4,17
"2",-11.3875939551695,18,17,19
"3",-10.4080223909863,22,19,26
"4",-10.79074830457,27,26,29
"5",-10.3750507977272,34,29,38
"6",-10.6735535503422,40,38,41
"7",-10.8932755194734,42,41,43
"8",-10.4944902880017,47,43,50
"9",-10.6593247178208,51,50,54
"10",-10.652236954551,58,54,61
"11",-10.7993240917353,64,61,67
"12",-10.4648729854706,70,67,75
